City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Katobu,ID,74.61,overcast clouds,-4.9408,122.5276,La Ode Husein
354,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
355,Yuncheng,CN,80.73,scattered clouds,35.0231,110.9928,晋州快捷酒店
356,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
357,Port-Gentil,GA,75.87,overcast clouds,-0.7193,8.7815,Fengshui Residence
359,Hanting,CN,71.46,few clouds,36.7708,119.2108,Weifang Xinhongda Guesthouse
362,Kavaratti,IN,81.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
364,Lolodorf,CM,70.66,light rain,3.2333,10.7333,Auberge La Decouverte
365,North Platte,US,78.69,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
368,Tabou,CI,77.16,moderate rain,4.423,-7.3528,hotêl doufoulougou
372,Locri,IT,88.32,broken clouds,38.2414,16.2623,Grand Hotel President
374,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
377,Kamenka,RU,72.05,broken clouds,51.3223,42.7678,
380,Englewood,US,74.86,broken clouds,39.6478,-104.9878,Holiday Motel
382,Itarema,BR,83.91,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
383,Mahonda,TZ,77.2,few clouds,-6.45,39.4667,Karamba Resort
385,Boende,CD,81.54,broken clouds,-0.2167,20.8667,
388,Barabai,ID,73.63,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
389,Sumisip,PH,76.91,overcast clouds,6.4197,121.9714,
391,Nanakuli,US,81.03,clear sky,21.3906,-158.1547,Camp Pālehua
396,Kuching,MY,73.62,light rain,1.55,110.3333,The Ranee Boutique Suites
397,San Policarpo,PH,80.08,broken clouds,12.1791,125.5072,JM Lodge
400,Vila Do Maio,CV,83.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
401,Am Timan,TD,85.68,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
402,Barbastro,ES,83.62,broken clouds,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
404,Namatanai,PG,78.71,light rain,-3.6667,152.4333,Seagulls Inn Namatani
405,Fukue,JP,73.8,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
406,Najran,SA,87.62,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
412,Gorontalo,ID,73.49,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
414,Bremervorde,DE,76.98,broken clouds,53.4833,9.1333,Oste-Hotel Restaurant Bremervörde
415,Gerash,IR,89.74,clear sky,27.6652,54.1371,Sa'adat House
416,Apatou,GF,86.18,heavy intensity rain,5.155,-54.3472,Yoto quensha
418,Mancio Lima,BR,89.67,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
419,Sioux Lookout,CA,77.99,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
421,Ipojuca,BR,73.31,overcast clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
425,Conakry,GN,82.47,light rain,9.538,-13.6773,Riviera Royal Hotel
428,Saint-Leu,RE,72.43,clear sky,-21.15,55.2833,La Caz Oceane
429,Puerto Rondon,CO,80.33,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
432,Katsuura,JP,72.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
433,Grafton,US,89.76,broken clouds,42.207,-71.6856,The Grafton Inn
436,Puerto Escondido,MX,85.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
439,Gandajika,CD,74.79,few clouds,-6.75,23.95,
441,Marfino,RU,77.09,clear sky,55.7028,37.3822,Nemchinovka-Park
443,Mandan,US,80.58,broken clouds,46.8267,-100.8896,Twin City Estates
446,Nabire,ID,74.26,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
447,Gornyatskiy,RU,75.74,few clouds,48.2915,40.9575,Remont Komp'yutera
448,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
450,Srednekolymsk,RU,72.7,overcast clouds,67.45,153.6833,
451,Enshi,CN,75.22,overcast clouds,30.3,109.4833,Moevenpick Enshi
452,Qesarya,IL,84.51,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
455,Minervino Murge,IT,81.63,clear sky,41.0843,16.0784,B&B Le Mura
457,Cochrane,CA,82.71,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
464,Doka,SD,88.54,overcast clouds,13.5167,35.7667,
465,Bac Lieu,VN,82.63,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
466,Golden,US,74.05,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
468,Hami,CN,73.13,broken clouds,42.8,93.45,Laoyutang Resort
469,Thinadhoo,MV,82.69,overcast clouds,0.5333,72.9333,
471,Eydhafushi,MV,80.89,moderate rain,5.1033,73.0708,Soneva Fushi
474,Trairi,BR,86.07,overcast clouds,-3.2778,-39.2689,janelas do mar
478,Dakar,SN,85.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
483,Bangkalan,ID,82.35,broken clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
485,Rincon,US,89.78,scattered clouds,32.296,-81.2354,Days Inn Rincon
488,Perama,GR,88.77,clear sky,37.9757,23.5828,Stis Kyra - Vasilikis
489,Kenner,US,85.03,broken clouds,29.9941,-90.2417,La Quinta Inn & Suites by Wyndham New Orleans Airport
491,Narayanganj,BD,84.22,overcast clouds,23.6233,90.5011,Ameer Hussain
492,Haapiti,PF,78.53,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
494,North Bend,US,75.15,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
501,Armash,AM,86.14,scattered clouds,39.7653,44.809,
506,Macomb,US,81.63,scattered clouds,40.4592,-90.6718,Hampton Inn Macomb
507,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
508,Makokou,GA,71.67,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
509,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
510,Ouango,CF,71.71,light rain,4.3133,22.5552,
514,Paragominas,BR,87.35,few clouds,-2.9667,-47.4833,INOVA
516,Boyolangu,ID,75.2,scattered clouds,-8.1181,111.8935,Yos ega cv
518,Villarrobledo,ES,86.27,clear sky,39.2699,-2.6012,Hotel Castillo
522,Lodwar,KE,85.84,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
524,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
525,Zakharovo,RU,77.68,few clouds,54.366,39.2792,
526,Nanton,CA,83.93,clear sky,50.3501,-113.7687,Changing Seasons Bed and Breakfast
533,Ibra,OM,82.29,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
534,Shieli,KZ,81.57,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
536,Grand-Santi,GF,89.69,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
538,Veraval,IN,84.72,broken clouds,20.9,70.3667,Lords Inn Somnath
542,Dawei,MM,78.76,light rain,14.0833,98.2,Hotel Dawei
543,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
549,Baton Rouge,US,84.15,clear sky,30.4508,-91.1545,Hilton Baton Rouge Capitol Center
551,Tabuk,PH,73.69,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
558,Neiafu,TO,74.08,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
559,Myitkyina,MM,74.32,light rain,25.3833,97.4,Shwe Phyu Hotel
564,Loralai,PK,79.74,few clouds,30.3705,68.598,Sana Poultry Loralai
566,Mahibadhoo,MV,81.25,overcast clouds,3.7833,72.9667,Omadhoo Inn
567,Hambantota,LK,79.75,overcast clouds,6.1241,81.1185,Bungalow 63
568,Salinas,US,85.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
569,Kaniama,CD,72.66,scattered clouds,-7.5667,24.1833,
570,Benguela,AO,71.87,broken clouds,-12.5763,13.4055,Hotel Praia Morena
571,Quatre Cocos,MU,73.09,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
573,Paralimni,CY,88.68,clear sky,35.0375,33.9833,Amore Hotel Apartments
574,Ordzhonikidze,KZ,71.15,broken clouds,52.4411,61.7408,Gostinitsa
575,Tamiahua,MX,85.12,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
579,Mednogorsk,RU,73.02,scattered clouds,51.4128,57.595,"Hotel ""Central"""
582,Tafresh,IR,75.79,broken clouds,34.692,50.013,هتل یاس سفید
584,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
585,Cururupu,BR,81.61,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
588,Honolulu,US,80.42,broken clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
590,Ha Giang,VN,80.51,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
591,Soyo,AO,74.19,broken clouds,-6.1349,12.3689,Hotel Mpampa
593,Bud,US,87.96,clear sky,39.447,-86.1758,Ted McQuinn Trust
599,Puerto Asis,CO,81.16,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
601,Axim,GH,78.13,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
606,Pandan,PH,80.62,broken clouds,14.0453,124.1694,Bonifacio Lodge
608,Kosamba,IN,84.72,overcast clouds,21.4833,72.95,Ajay nanjibhai chavda
611,Pedernales,DO,87.08,broken clouds,18.0384,-71.744,Hotel Costa Marina
612,Buala,SB,78.55,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
613,Sainte-Savine,FR,70.48,clear sky,48.2964,4.0464,Le Royal
615,Karachi,PK,85.82,haze,24.9056,67.0822,Sadaat
618,Senno,RU,72.66,broken clouds,59.5336,33.9167,
620,Eyl,SO,78.37,scattered clouds,7.9803,49.8164,Amiin Hotel
621,Flin Flon,CA,71.44,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
622,Caravelas,BR,75.47,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
623,Nea Playia,GR,87.91,clear sky,40.2667,23.2,Mavridis Hotels
624,Lander,US,70.61,broken clouds,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
627,Faya,SA,75.31,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
628,Beruwala,LK,79.09,overcast clouds,6.4788,79.9828,The Palms Hotel
630,Natagaima,CO,84.43,light rain,3.6206,-75.0941,Hotel El Gran Palacio- Nury
631,Kikwit,CD,80.56,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
635,Santa Maria Del Oro,MX,87.75,scattered clouds,25.9333,-105.3667,Hotel Palacio Del Sol
638,Divnomorskoye,RU,71.51,clear sky,44.5011,38.1353,Primorskiy
644,Niceville,US,85.46,light rain,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
648,Nara,JP,70.5,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
655,Bandarbeyla,SO,77.63,broken clouds,9.4942,50.8122,JABIR HOTEL
656,Bima,ID,75.31,overcast clouds,-8.4667,118.7167,Lambitu Hotel
657,Panubigan,PH,77.81,light rain,7.4281,123.3466,Parish Beach
658,Nijar,ES,83.88,clear sky,36.9665,-2.206,La Casa del Cine
660,Sa Kaeo,TH,76.41,broken clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
662,Tecoanapa,MX,84.02,overcast clouds,16.5167,-98.75,Hotel Manglares
665,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
666,Tubuala,PA,86.11,overcast clouds,9.5167,-79.0333,Río Nabagana
669,Kathu,TH,87.69,broken clouds,7.9178,98.3332,Novotel Phuket Resort
670,Akdepe,TM,89.6,scattered clouds,42.0551,59.3788,Мой дом
677,Kapit,MY,73.11,heavy intensity rain,2.0167,112.9333,Hotel Meligai Kapit
679,Mabaruma,GY,86.68,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
680,Ayame,CI,76.64,light rain,5.6083,-3.1563,Hotel Bossan
682,Pak Phanang,TH,79.56,overcast clouds,8.3511,100.202,Green Park Inn Hotel
683,Gizo,SB,80.85,light rain,-8.103,156.8419,Imagination Island
684,Amuntai,ID,73.29,broken clouds,-2.4177,115.2494,Hotel Balqis
686,Nichinan,JP,70.07,light rain,31.6,131.3667,Guest House Aki
690,Kamskiye Polyany,RU,79.61,clear sky,55.4307,51.4171,
692,Sulzbach-Rosenberg,DE,77.79,overcast clouds,49.4983,11.7517,Brauereigasthof Flair-Hotel Sperber-Bräu
693,Qobustan,AZ,80.71,few clouds,40.0824,49.412,
694,Szczytno,PL,71.53,clear sky,53.5626,20.9875,Noclegi Marusa
696,Kismayo,SO,76.51,broken clouds,-0.3582,42.5454,Agan-Hotel
