City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Lasa,IT,2021-06-25 22:35:58,46.6166,10.7002,63.48,92,43,2.39
196,Mitla,MX,2021-06-25 22:35:58,16.9167,-96.4,71.83,64,100,5.03
197,Savannah Bight,HN,2021-06-25 22:35:58,16.45,-85.85,89.65,73,6,15.5
198,Sukumo,JP,2021-06-25 22:35:59,32.9333,132.7333,72.14,93,100,3.83
199,Lodwar,KE,2021-06-25 22:36:00,3.1191,35.5973,80.71,44,100,8.55
200,Nanortalik,GL,2021-06-25 22:36:01,60.1432,-45.2371,44.73,79,14,4.27
201,Acari,PE,2021-06-25 22:36:01,-15.4311,-74.6158,64.11,77,60,3.44
202,Sosva,RU,2021-06-25 22:36:02,59.1766,61.8558,60.01,84,92,4.25
203,Wairoa,NZ,2021-06-25 22:36:02,-39.0333,177.3667,61.61,70,100,4.0
204,Avera,US,2021-06-25 22:36:03,33.194,-82.5271,87.31,39,22,4.9
205,Koslan,RU,2021-06-25 22:36:04,63.4564,48.8989,55.0,98,57,3.91
206,Tarakan,ID,2021-06-25 22:36:04,3.3,117.6333,78.3,94,20,2.3
207,Manggar,ID,2021-06-25 22:36:05,-2.8833,108.2667,80.73,78,69,5.68
208,Solnechnyy,RU,2021-06-25 22:36:05,50.7214,136.6319,56.12,99,100,3.02
209,Mulege,MX,2021-06-25 22:36:06,26.8833,-111.9833,93.63,41,2,8.23
210,Sola,VU,2021-06-25 22:36:06,-13.8833,167.55,79.07,63,47,22.75
211,Provideniya,RU,2021-06-25 22:36:07,64.3833,-173.3,43.92,84,100,4.03
212,Salima,MW,2021-06-25 22:36:08,-13.7804,34.4587,62.78,53,0,3.22
213,Cochrane,CA,2021-06-25 22:36:09,51.1834,-114.4687,79.84,46,1,8.05
214,Barrow,US,2021-06-25 22:36:09,71.2906,-156.7887,35.62,75,90,16.11
215,Kasulu,TZ,2021-06-25 22:36:09,-4.5767,30.1025,63.75,68,20,2.44
216,Souillac,MU,2021-06-25 22:36:10,-20.5167,57.5167,68.38,94,75,11.5
217,Fort Nelson,CA,2021-06-25 22:36:11,58.8053,-122.7002,87.39,25,20,16.11
218,Khamgaon,IN,2021-06-25 22:36:11,20.6833,76.5667,77.97,77,100,14.63
219,Karlstad,SE,2021-06-25 22:36:11,59.3793,13.5036,61.36,88,90,4.61
220,Winnemucca,US,2021-06-25 22:36:12,40.973,-117.7357,91.45,14,1,12.66
221,Los Llanos De Aridane,ES,2021-06-25 22:36:12,28.6585,-17.9182,65.95,68,90,14.97
222,San Juan,AR,2021-06-25 22:35:58,-31.5375,-68.5364,53.65,46,5,15.23
223,Moron,AR,2021-06-25 22:32:42,-34.6534,-58.6198,57.99,79,3,4.54
224,Dimataling,PH,2021-06-25 22:36:13,7.5344,123.3738,79.79,83,79,3.27
225,Oussouye,SN,2021-06-25 22:36:13,12.485,-16.5469,84.38,84,100,10.89
226,Touros,BR,2021-06-25 22:36:14,-5.1989,-35.4608,77.9,72,8,18.68
227,Terme,TR,2021-06-25 22:36:14,41.2092,36.9739,64.33,84,14,4.12
228,Bonavista,CA,2021-06-25 22:36:15,48.6499,-53.1147,73.4,60,0,15.37
229,San Quintin,MX,2021-06-25 22:36:15,30.4833,-115.95,70.92,68,1,18.57
230,Milkovo,RU,2021-06-25 22:36:16,54.7167,158.6167,48.0,67,93,4.09
231,Raudeberg,NO,2021-06-25 22:36:16,61.9875,5.1352,56.07,89,81,21.14
