City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
175,Vila Velha,-20.3297,-40.2925,76.95,57,40,10.36,BR,scattered clouds
176,Uray,60.1247,64.7758,59.0,78,18,4.76,RU,few clouds
177,Marica,-22.9194,-42.8186,82.35,62,0,6.46,BR,clear sky
178,Stornoway,58.2093,-6.3865,57.92,82,90,12.66,GB,overcast clouds
179,Vanimo,-2.6741,141.3028,76.95,91,49,4.65,PG,scattered clouds
180,Obanazawa,38.6033,140.4019,65.8,93,95,1.32,JP,overcast clouds
181,Umm Lajj,25.0213,37.2685,86.59,55,0,8.5,SA,clear sky
182,Broome,42.2506,-75.833,89.56,57,40,4.0,US,scattered clouds
183,Jamestown,42.097,-79.2353,87.39,55,75,15.99,US,broken clouds
184,Mayskiy,47.6931,40.1025,78.44,74,81,5.41,RU,broken clouds
185,Vorsma,55.9856,43.2717,73.24,81,99,7.65,RU,overcast clouds
186,Krasnoselkup,65.7,82.4667,51.01,62,99,8.77,RU,overcast clouds
187,Gorno-Altaysk,51.9561,85.955,50.85,88,75,5.86,RU,broken clouds
188,Padang,-0.9492,100.3543,73.45,88,98,3.6,ID,overcast clouds
189,Bagdarin,54.4333,113.6,58.93,87,60,0.87,RU,broken clouds
190,Nyurba,63.2842,118.3319,61.61,84,98,3.96,RU,light rain
191,San Julian,21.0167,-102.1667,64.83,62,100,12.03,MX,overcast clouds
192,Yar-Sale,66.8333,70.8333,52.39,60,100,5.46,RU,overcast clouds
193,Zhigansk,66.7697,123.3711,61.32,83,100,9.84,RU,light rain
194,Bethel,41.3712,-73.414,88.43,67,75,1.01,US,broken clouds
195,Luderitz,-26.6481,15.1594,56.93,71,2,4.29,NA,clear sky
196,Aswan,24.0934,32.907,96.22,12,1,5.53,EG,clear sky
197,Kavieng,-2.5744,150.7967,80.4,79,100,5.41,PG,moderate rain
198,Humberto De Campos,-2.5983,-43.4611,81.75,71,53,2.46,BR,broken clouds
199,Hanko,59.8333,22.95,72.14,78,4,18.12,FI,clear sky
200,Poquoson,37.1224,-76.3458,91.0,61,75,3.0,US,broken clouds
201,Ponta Do Sol,32.6667,-17.1,72.72,70,9,3.76,PT,clear sky
202,Coos Bay,43.3665,-124.2179,93.85,78,1,9.22,US,clear sky
203,Manokwari,-0.8667,134.0833,77.7,80,12,5.86,ID,few clouds
204,Kodiak,57.79,-152.4072,47.71,93,90,4.61,US,overcast clouds
205,Port Blair,11.6667,92.75,81.91,74,28,12.24,IN,scattered clouds
206,Paamiut,61.994,-49.6678,45.12,92,100,19.95,GL,light rain
207,San Vicente,-26.6167,-54.1333,45.39,99,100,4.23,AR,light rain
208,Wonthaggi,-38.6044,145.5913,47.19,78,17,1.61,AU,few clouds
209,Makakilo City,21.3469,-158.0858,79.12,67,1,4.61,US,clear sky
210,Santiago,-33.4569,-70.6483,57.16,38,0,2.3,CL,clear sky
211,Hithadhoo,-0.6,73.0833,82.67,72,96,5.68,MV,overcast clouds
212,Sinop,41.7711,34.8709,65.91,86,13,3.22,TR,few clouds
213,Rakai,-0.72,31.4839,61.39,66,84,2.17,UG,broken clouds
214,Tulum,20.2167,-87.4667,87.85,87,100,6.78,MX,overcast clouds
215,La Vega,19.2221,-70.5296,92.57,43,35,11.88,DO,scattered clouds
216,Mount Darwin,-16.7725,31.5838,62.82,39,14,3.13,ZW,few clouds
217,Kloulklubed,7.0419,134.2556,83.44,68,68,2.86,PW,broken clouds
218,Longyearbyen,78.2186,15.6401,48.04,61,0,5.75,SJ,clear sky
219,Shenjiamen,29.9576,122.298,75.34,97,100,3.89,CN,light rain
220,Pacific Grove,36.6177,-121.9166,84.81,90,75,3.0,US,broken clouds
221,Ranong,9.9658,98.6348,79.65,85,27,7.16,TH,scattered clouds
222,Kahului,20.8947,-156.47,78.84,74,40,8.05,US,scattered clouds
223,Imbituba,-28.24,-48.6703,66.09,89,100,13.51,BR,light rain
224,Samarai,-10.6167,150.6667,78.42,85,34,10.4,PG,scattered clouds
225,Luanda,-8.8368,13.2343,75.2,83,20,9.22,AO,few clouds
226,Basoda,23.85,77.9333,89.56,49,70,7.81,IN,broken clouds
227,Klaksvik,62.2266,-6.589,50.92,78,56,5.08,FO,broken clouds
228,Airai,-8.9266,125.4092,56.17,89,62,3.83,TL,broken clouds
229,Phalaborwa,-23.943,31.1411,65.48,44,0,4.27,ZA,clear sky
230,Ler,8.3018,30.1418,80.08,62,81,3.94,SS,broken clouds
231,Bay Roberts,47.5999,-53.2648,74.95,72,93,11.99,CA,overcast clouds
232,Pasni,25.2631,63.471,81.95,80,12,10.2,PK,few clouds
233,Cherskiy,68.75,161.3,67.77,43,72,8.28,RU,broken clouds
234,Jalu,29.0331,21.5482,98.29,12,0,5.93,LY,clear sky
235,Korhogo,9.45,-5.6333,88.5,44,60,6.02,CI,broken clouds
236,Prado,-17.3411,-39.2208,75.51,54,62,7.47,BR,broken clouds
237,Igarka,67.4667,86.5833,46.78,92,100,5.7,RU,overcast clouds
238,The Valley,18.217,-63.0578,85.82,72,93,14.85,AI,overcast clouds
239,Aberdeen,57.1437,-2.0981,64.49,61,98,9.22,GB,overcast clouds
240,Jiuquan,39.7432,98.5174,73.22,32,25,4.38,CN,scattered clouds
241,Nola,40.922,14.5329,86.65,51,42,1.68,IT,scattered clouds
242,Lata,40.1629,-8.3327,70.03,48,4,11.77,PT,clear sky
243,Sucre,-19.0333,-65.2627,54.63,73,82,15.05,BO,broken clouds
